S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
191,Fresno downtown shooting,"Fresno, California",04/18/17,Public area,a street in downtown,Open,random,racism,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",arrested,one,3,0,3,-999,39,-999,-999,-999,"Black, Black American or African American",Male,36.746378,-119.800319
192,Rural Ohio nursing home shooting,"Kirkersville, Ohio",05/12/17,Nursing Home,a nursing home,Close,coworkers,-999,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",-999,one,3,0,3,1,43,1,some nursing home,Yes,"White, White American or European American",Male,39.959034,-82.596508
193,Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",06/07/17,Shop/store,Weis grocery,Close,coworkers,terrorism,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",committed suicide,one,3,0,3,-999,24,1,Weis grocery,-999,"White, White American or European American",Male,41.529546,-75.94722
194,San Francisco UPS shooting,"San Francisco, CA",06/14/17,Current Workplace,UPS facility,Close,coworkers,-999,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",committed suicide,one,3,2,5,0,38,1,-999,Yes,Asian or Asian American,Male,37.765947,-122.406087
195,Edgewood businees park shooting,"Edgewood, Maryland",10/18/17,Shop/store,Remodeling Store,Close,coworkers,-999,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",arrested,one,3,3,6,0,37,-999,Advance Granite Store,No,"Black, Black American or African American",Male,39.452189,-76.309988
196,Walmart shooting in suburban Denver,"Thornton, Colorado",11/01/17,Shop/store,Wal-Mart,Open,random,-999,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",arrested,one,3,0,3,-999,47,-999,-999,No,"White, White American or European American",Male,39.876374,-104.986132
197,Yountville veterans home shooting,"Yountville, California",03/09/18,Workplace,Workplace,-999,-999,-999,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriffâ€™s deputy and taking three women hostage, one of whom heâ€™d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",committed suicide,one,3,0,3,-999,36,-999,-999,Yes,Asian or Asian American,Male,38.392496,-122.366528
198,Fifth Third Center shooting,"Cincinnati, Ohio",09/06/18,Workplace,Workplace,-999,-999,-999,"Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",arrested,one,3,2,5,-999,29,-999,-999,Yes,Latino,Male,39.101981,-84.511782
199,Rite Aid warehouse shooting,"Perryman, Maryland",09/20/18,Workplace,Workplace,-999,-999,-999,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",committed suicide,one,3,3,6,-999,26,-999,-999,-999,"Black, Black American or African American",Female,39.455658,-76.208485
200,Mercy Hospital shooting,"Chicago, Illinois",11/19/18,Workplace,Workplace,-999,-999,-999,"Juan Lopez, 32, confronted his former fiancÃ©, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an ex-wife, and was kicked out of a fire department training academy for misconduct against female cadets.",killed,one,3,0,3,-999,32,-999,-999,-999,Latino,Male,41.847667,-87.622009
201,Pennsylvania hotel bar shooting,"State College, Pennsylvania",01/24/19,"Bar, Club",Other,-999,-999,-999,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",arrested,one,3,1,4,-999,21,-999,-999,-999,"White, White American or European American",Male,40.785142,-77.839411
202,Gilroy garlic festival shooting,"Gilroy, California",07/28/19,Public area,Other,-999,-999,-999,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: â€œBecause I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",committed suicide,one,3,12,15,-999,19,-999,-999,-999,-999,Male,36.997191,-121.584819
203,Pensacola Naval base shooting,"Pensacola, Florida",12/06/19,Military classroom,Military,-999,-999,-999,"Ahmed Mohammed al-Shamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriffâ€™s deputies.",killed,one,3,8,11,-999,-,-999,-999,-999,-999,Male,30.364707,-87.288567
204,Grover Cleveland Elementary School,"San Diego, California",01/29/79,School,-999,Open,Children,terrorism,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",-999,one,2,9,11,0,16,-999,-999,Yes,"White, White American or European American",Female,32.86357277,-117.1281628
205,University of South Carolina,"Columbia, South Carolina",10/06/79,School,fraternity house party,Close,Students,-999,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",-999,one,2,5,7,0,19,-999,-999,-999,"Black, Black American or African American",Male,34.05098834,-80.82077527
206,49th Street Elementary School,"Los Angeles, California",02/24/84,Public area,-999,Open,Children,terrorism,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.",-999,one,2,12,14,0,28,-999,-999,Yes,"Black, Black American or African American",Male,34.17622092,-118.5399542
207,Atlanta Post Office,"Atlanta, Georgia",03/06/85,Current Workplace,Atlanta Post Office,Close,Coworkers,anger,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",arrested,one,2,1,3,0,30,1,Atlanta Post Office,Yes,"Black, Black American or African American",Male,33.7629969,-84.4231328
208,Oakland Elementary School,"Greenwood, South Carolina",09/26/88,School,Oakland Elementary School,Close,Students+Teachers,psycho,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",arrested,one,2,9,11,0,19,0,-999,Yes,"White, White American or European American",Male,34.1928952,-82.15355508
209,Simon's Rock College of Bard,"Great Barrington, Massachusetts",12/14/92,School,Simon's Rock College of Bard,Close,Students+Teachers,-999,"On December 14, 1992, an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",arrested,one,2,4,6,0,18,-999,-999,No,Asian or Asian American,Male,42.19358268,-73.36216339
210,Massachusetts Abortion Clinic,"Brookline, Massachusetts",12/30/94,Hospital/Health Clinic,health clinic,Close,random,terrorism,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one. ",-999,one,2,5,7,0,-999,-999,-999,Yes,"White, White American or European American",Male,42.32427392,-71.14080012
211,Downtown Chapel Hill,"Chapel Hill, North Carolina",01/26/95,Public area,-999,Open,random,psycho,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",arrested,one,2,2,4,0,26,-999,-999,Yes,"White, White American or European American",Male,35.92681467,-79.03850407
212,Richland High School,"Lynnville, Tennessee",11/15/95,School,Richland High School,Close,Students+Teachers,-999,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",arrested,one,2,1,3,0,17,-999,-999,Yes,"White, White American or European American",Male,35.37810374,-87.00610559
213,Bethel Regional High School,"Bethel, Alaska",02/19/97,School,Bethel Regional High School,Close,Students+Teachers,frustration,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",arrested,one,2,2,4,0,16,-999,-999,Yes,"White, White American or European American",Male,60.79053882,-161.7927517
214,Pearl High School,"Pearl, Mississippi",10/01/97,Home + School,Home+School,Close,random,psycho,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",arrested,one,2,7,9,0,16,-999,-999,Yes,"White, White American or European American",Male,32.27492783,-90.09470655
215,Santana High School,"Santee, San Diego, California",03/05/01,School,Santana High School,Close,Students,terrorism,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",arrested,one,2,13,15,0,15,-999,-999,No,"White, White American or European American",Male,32.86357277,-117.1281628
216,Tyler Courthouse,"Tyler, Texas",02/24/05,County Courthouse,Smith County Courthouse,Open,Ex-Wife,frustration,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",killed,one,2,4,6,0,43,-999,-999,-999,Other,Male,32.3154272,-95.30501087
217,Essex Elementary School,"Essex Junction, Vermont",08/24/06,Public area,Home+School,Close,Ex-GirlFriend,psycho,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",fail to commit suicide and arrested,one,2,2,4,0,26,-999,-999,Yes,"Black, Black American or African American",Male,44.49022039,-73.11400628
218,University of Central Arkansas,"Conway, Arkansas",10/26/08,School,Dormitory,Close,Students,terrorism,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",arrested,group,2,1,3,0,19,-999,-999,No,"Black, Black American or African American",Male,35.08130744,-92.43278275
219,Clackamas Town Center,"Happy Valley, Oregon",12/11/12,Shop/store,Shopping Mall,Close,random,terrorism,"On December 11, 2012, an unemployed 22-year old run into Clackamas Town Center, a shopping center outside the City of Portland, Oregon. The gunman opened fire on shoppers and employees killing two people and seriously wounding a third person before committing suicide.",committed suicide,one,2,1,3,0,22,0,-999,No,Other,Male,45.44853107,-122.5440133
220,Phoenix Law Firm,"Phoenix, Arizona",01/30/13,Public area,Entrance of building,Open,random,psycho,"On January 30, 2013, a 70-year old man attended a mediation session at a law firm in Phoenix, Arizona. At the end of the session he shot three people at the entrance of the building, killing the two man involved in the session with him and wounding a third person. The shooter fled the scene, firing at a man who followed him. He later died from a self-inflicted gunshot wound.",committed suicide,one,2,1,3,0,70,-999,-999,-999,"White, White American or European American",Male,33.57145875,-112.0904854
221,Clarkesville,"Clarkesville, Georgia",02/22/15,Home,Home,Close,Ex-Wife,-999,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",killed,one,2,2,4,0,-999,-999,-999,No,"White, White American or European American",Male,34.61025711,-83.52918091
222,Brookhaven,"Brookhaven, Mississippi",03/13/15,Home,Home,Close,House Owner,anger,"On early Friday morning of March 13, the man accused of shooting  the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",committed suicide,one,2,3,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,31.58036482,-90.44323475
223,Cottonwood,"Cottonwood, Alabama",03/15/15,Home,Home,Close,Family,-999,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",committed suicide,one,2,1,3,0,-999,-999,-999,No,"White, White American or European American",Male,31.0549687,-85.30100084
224,Killeen,"Killeen, Texas",04/21/15,Neighborhood,Village West Apartments,Close,random,-999,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments. ",-999,one,2,3,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,31.07925506,-97.73392317
225,Milwaukee,"Milwaukee, Wisconsin",05/01/15,Public area,street,Open,random,domestic dispute,"dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",-999,one,2,3,5,0,21,-999,-999,No,-999,Male,43.06420322,-87.96724385
226,Cleveland,"Cleveland, Ohio",05/31/15,Home,Home,Close,Ex-girlfriend,psycho,"On May 31, 2015, the shooter entered his ex-girlfriend's home and found his ex-girlfriend and her grandfather upstairs, shooting and killing both. He then took his own life.",committed suicide,one,2,1,3,0,-999,-999,-999,-999,-999,Male,41.47657557,-81.68051502
227,Conyers,"Conyers, Georgia",05/31/15,Shop/store,liquor store,Close,random,psycho,"On May 31, 2015, the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store, he  returned to his parents' home and shot and wounded them both. ",-999,one,2,2,4,0,-999,-999,-999,-999,"White, White American or European American",Male,33.66086267,-84.02688527
228,River Forest,"River Forest, Illinois",07/12/15,Public area,river forest,Open,Family,domestic dispute,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,-999,one,2,2,4,0,-999,-999,-999,-999,-999,Male,41.89499946,-87.81941392
229,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",07/23/15,Movie Theatre,Movie Theatre,Close,random,-999,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",committed suicide,one,2,9,11,0,-999,-999,-999,Yes,"White, White American or European American",Male,30.21233538,-92.0316453
230,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",08/26/15,Shop/store,Outdoor Shopping Mall,Open,Coworkers,psycho,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",committed suicide,one,2,1,3,0,-999,1,Virginia TV,-999,"Black, Black American or African American",Male,37.27823366,-79.95816104
231,"Inglis, Florida","Inglis, Florida",10/01/15,Home,-999,Open,Ex-Wife,anger,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",committed suicide,one,2,1,3,0,57,-999,-999,-999,"White, White American or European American",Male,29.03270634,-82.65919302
232,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/15,Public area,Colerain Township,-999,Family,-999,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",-999,one,2,1,3,0,-999,-999,-999,-999,"White, White American or European American",Male,39.253268,-84.599655
233,"Omaha, Nebraska","Omaha, Nebraska",12/06/15,Home,-999,-999,random,-999,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,arrested,one,2,3,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,41.3138,-96.0814
234,Los Angeles Drive-by,"Los Angeles, California",01/23/16,Public area,outside of liquor store,Open,random,terrorism,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",got away,-999,2,2,4,0,-999,-999,-999,-999,-999,-999,34.052234,-118.243685
235,"Tampa, FL Strip club shooting","Tampa, Florida",02/06/16,"Bar, Club",strip club,Close,random,fight,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",got away,-999,2,6,8,0,-999,-999,-999,-999,-999,-999,27.950575,-82.457178
236,"Orlando, Florida","Orlando, Florida",02/07/16,"Bar, Club",nightclub,Close,random,terrorism,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,-999,-999,2,10,12,0,-999,-999,-999,-999,Other,Male,28.4541,-81.4646
237,"Vallejo, CA car shooting","Vallejo, California",02/19/16,Public area,-999,Open,random,-999,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",got away,two,2,2,4,0,-999,-999,-999,-999,-999,-999,38.104086,-122.256637
238,"Woodbridge, Virginia","Woodbridge,  Virginia",02/27/16,Home,outside the house,Open,random,domestic dispute,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",-999,one,2,2,4,3,-999,-999,-999,-999,"Black, Black American or African American",Male,38.6697,-77.3524
239,Detroit Drive-by,"Detroit, Michigan",03/11/16,Public area,-999,Open,random,-999,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,got away,group,2,2,4,0,-999,-999,-999,-999,-999,-999,42.331427,-83.045754
240,Wetumpka Drive-by,"Wetumpka, Alabama",03/19/16,Public area,"drive-by in Wetumpka, Alabama",Open,random,terrorism,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",-999,one,2,2,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,32.543745,-86.211913
241,"Albuquerque, NM Family restaurant shooting","Albuquerque, New Mexico",04/01/16,Restaurant,restaurant,Close,Family,anger,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,committed suicide,one,2,1,3,0,-999,-999,-999,-999,Asian or Asian American,Male,35.085334,-106.605553
242,St. Aloysius Church,"Spokane, Washington",11/11/71,Church,Church,Close,random,terrorism,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.",killed,one,1,4,5,0,-999,-999,-999,Yes,"White, White American or European American",Male,47.67367375,-117.4159843
243,Clara Barton Elementary School,"Chicago, Illinois",01/17/74,School,Clara Barton Elementary School,Close,Teachers,anger,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",-999,one,1,3,4,0,14,-999,-999,Yes,-999,Male,41.83928045,-87.68818145
244,Los Angeles Computer Learning Center,"Los Angeles, California",02/19/76,School,Los Angeles Computer School,Close,Students,anger,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",-999,one,1,7,8,0,18,-999,-999,-999,"White, White American or European American",Male,34.17622092,-118.5399542
245,Valley High School,"Las Vegas, Nevada",03/19/82,School,Valley High School,Close,Students+Teachers,-999,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",-999,one,1,2,3,0,17,-999,-999,Yes,"White, White American or European American",Male,36.18931923,-115.3264875
246,Johnston Post Office,"Johnston, South Carolina",08/19/83,Former Workplace,Johnston Post Office,Close,postmaster,anger,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.",-999,one,1,3,4,0,55,0,-999,Yes,"White, White American or European American",Male,33.83272887,-81.8051584
247,Goddard Junior High School,"Goddard, Kansas",01/21/85,School,Goddard Junior High School,Close,Students+Teachers,-999,"On January 21, 1985, a 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",arrested,one,1,3,4,0,14,-999,-999,Yes,"White, White American or European American",Male,37.67129418,-97.55070476
248,New York Technical College,"Brooklyn, New York",08/12/86,School,New York Technical College in Brooklyn,Close,Teachers,revenge,"On August 12, 1986, a 29-year civil technology student  at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.",arrested,one,1,4,5,0,29,-999,-999,Yes,"Black, Black American or African American",Male,40.679276,-73.939513
249,Fergus County High School,"Lewistown, Montana",12/04/86,School,Fergus County High School,Close,Teachers,failing exams,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",arrested,one,1,3,4,0,14,-999,-999,Yes,"White, White American or European American",Male,47.03740653,-109.4844918
250,Pinellas Park High School,"Pinellas Park, Florida",02/11/88,School,School,Close,-999,frustration,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.",-999,two,1,2,3,0,15,-999,-999,No,"White, White American or European American",Male,27.84887061,-82.71058
251,Hubbard Woods Elementary School,"Winnetka, Illinois",05/20/88,Home + School,Home+School,Close,Students,terrorism,"On May 20, 1988, a 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",committed suicide,one,1,7,8,0,30,-999,-999,Yes,"White, White American or European American",Female,42.10648807,-87.74211141
252,Dana Point Post Office,"Dana Point, California",05/06/93,Home + Current Workplace,-999,Open+CLose,random,psycho,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",-999,one,1,5,6,0,38,0,-999,Yes,"White, White American or European American",Male,33.47316083,-117.696399
253,Dearborn Post Office,"Dearborn, Michigan",05/06/93,Current Workplace,Workplace,Close,Coworkers,frustration,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",committed suicide,one,1,2,3,0,45,1,-999,-999,-999,Male,42.31269522,-83.21293244
254,Chelsea High School,"Chelsea, Michigan",12/16/93,School,Chelsea High School,Close,Coworkers,anger,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",arrested,one,1,2,3,0,39,1,Chelsea High School,Yes,"White, White American or European American",Male,42.31319376,-84.01868108
255,Wickliffe Middle School,"Wickliffe, Ohio",11/07/94,School,Wickliffe Middle School,Close,random,psycho,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",arrested,one,1,3,4,0,37,-999,-999,Yes,"White, White American or European American",Male,41.60713735,-81.46902046
256,Milwaukee Post Office,"Milwaukee, Wisconsin",12/19/97,Former Workplace,Workplace,Close,Coworkers,-999,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",committed suicide,one,1,2,3,0,37,1,Milwaukee,No,"Black, Black American or African American",Male,43.06420322,-87.96724385
257,Parker Middle School Dance,"Edinboro, Pennsylvania",04/24/98,School,Banquet Hall,Close,random,-999,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",arrested,one,1,3,4,0,14,-999,-999,Yes,"White, White American or European American",Male,41.87617136,-80.12459632
258,Case Western Reserve University,"Cleveland, Ohio",05/09/03,School,School,Close,Students+Teachers,terrorism,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",arrested,one,1,2,3,0,-999,-999,-999,No,Asian or Asian American,Male,41.47657557,-81.68051502
259,Orange High School,"Hillsborough, North Carolina",08/30/06,Home + School,Home+School,Close,random,psycho,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",arrested,one,1,2,3,0,18,-999,-999,Yes,Other,Male,36.04099857,-79.09701201
260,Youngstown State University,"Youngstown, Ohio",02/06/11,School,fraternity house party,Close,random,anger,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",-999,two,1,11,12,0,19,-999,-999,-999,"Black, Black American or African American",Male,41.09933958,-80.64631705
261,Southern Union State Community College,"Opelika, Alabama",04/06/11,School,Opelika campus of Southern Union State Community College in Alabama,Open,Ex-Wife & Family,anger,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",arrested,one,1,3,4,0,34,-999,-999,Yes,"White, White American or European American",Male,32.66240106,-85.37706931
